Rank,Sample_Index,y_keras,y_hls,abs_delta
1,555,0.431917,0.530273,0.098357
2,1317,0.433640,0.530273,0.096633
3,651,0.343335,0.437500,0.094165
4,1100,0.493749,0.577148,0.083399
5,967,0.624271,0.705078,0.080807
6,1114,0.450051,0.530273,0.080222
7,1080,0.700116,0.776367,0.076251
8,1007,0.291231,0.362305,0.071073
9,618,0.337382,0.407227,0.069845
10,1010,0.649204,0.717773,0.068570
11,580,0.688860,0.754883,0.066022
12,1076,0.613093,0.678711,0.065618
13,354,0.700349,0.765625,0.065276
14,366,0.762560,0.826172,0.063612
15,1112,0.747747,0.807617,0.059871
16,943,0.424747,0.484375,0.059628
17,1224,0.695411,0.754883,0.059472
18,1006,0.748926,0.807617,0.058691
19,650,0.718955,0.776367,0.057412
20,484,0.168075,0.222656,0.054581
21,530,0.399053,0.453125,0.054072
22,1165,0.772717,0.826172,0.053455
23,74,0.524224,0.577148,0.052925
24,1101,0.702253,0.754883,0.052630
25,1025,0.746070,0.797852,0.051781
26,1149,0.816473,0.866211,0.049738
27,350,0.811305,0.859375,0.048070
28,1310,0.682507,0.730469,0.047961
29,173,0.234275,0.281250,0.046975
30,44,0.806407,0.851562,0.045156
31,36,0.502098,0.545898,0.043800
32,1060,0.763881,0.807617,0.043736
33,528,0.837727,0.879883,0.042156
34,634,0.846142,0.886719,0.040577
35,1315,0.803424,0.843750,0.040326
36,695,0.865183,0.904297,0.039114
37,635,0.835244,0.874023,0.038779
38,1023,0.841677,0.879883,0.038205
39,147,0.109876,0.147461,0.037585
40,1072,0.855068,0.892578,0.037510
41,1068,0.797739,0.834961,0.037222
42,421,0.789339,0.826172,0.036833
43,21,0.196866,0.233398,0.036533
44,1016,0.838573,0.874023,0.035451
45,168,0.720704,0.754883,0.034179
46,1001,0.840090,0.874023,0.033933
47,601,0.859726,0.892578,0.032852
48,988,0.866018,0.898438,0.032419
49,556,0.899788,0.931641,0.031852
50,1102,0.835465,0.866211,0.030746
51,1004,0.883361,0.914062,0.030702
52,14,0.142789,0.172852,0.030062
53,984,0.885018,0.914062,0.029044
54,982,0.898742,0.927734,0.028993
55,1082,0.895043,0.923828,0.028785
56,1118,0.895743,0.923828,0.028085
57,564,0.900091,0.927734,0.027643
58,399,0.919072,0.946289,0.027218
59,517,0.859624,0.886719,0.027095
60,566,0.817187,0.843750,0.026563
61,968,0.912892,0.939453,0.026561
62,1029,0.901584,0.927734,0.026150
63,1206,0.905833,0.931641,0.025808
64,1070,0.882325,0.904297,0.021971
65,1110,0.920485,0.942383,0.021897
66,1115,0.897183,0.918945,0.021762
67,494,0.925126,0.946289,0.021163
68,1084,0.928254,0.949219,0.020965
69,428,0.939169,0.959961,0.020792
70,1135,0.921622,0.942383,0.020761
71,45,0.866196,0.886719,0.020523
72,834,0.915279,0.935547,0.020268
73,27,0.081418,0.100586,0.019168
74,1127,0.933679,0.952148,0.018470
75,582,0.941516,0.959961,0.018445
76,1058,0.917527,0.935547,0.018020
77,1167,0.937428,0.955078,0.017650
78,1301,0.914100,0.931641,0.017541
79,619,0.095130,0.112305,0.017175
80,94,0.938291,0.955078,0.016788
81,146,0.911595,0.927734,0.016140
82,1086,0.915650,0.931641,0.015991
83,149,0.936338,0.952148,0.015810
84,1132,0.944258,0.959961,0.015703
85,1009,0.940566,0.955078,0.014512
86,1160,0.935050,0.949219,0.014169
87,949,0.943012,0.957031,0.014019
88,201,0.938181,0.952148,0.013967
89,375,0.951116,0.964844,0.013728
90,1156,0.946293,0.959961,0.013668
91,1105,0.953174,0.966797,0.013623
92,1005,0.948342,0.961914,0.013572
93,1113,0.951473,0.964844,0.013370
94,496,0.043331,0.056641,0.013310
95,1259,0.953944,0.966797,0.012853
96,942,0.939499,0.952148,0.012649
97,65,0.050883,0.063477,0.012593
98,1103,0.939780,0.952148,0.012369
99,15,0.051112,0.063477,0.012365
100,1063,0.949599,0.961914,0.012315
101,558,0.949723,0.961914,0.012191
102,1099,0.957714,0.969727,0.012012
103,1104,0.945088,0.957031,0.011943
104,1337,0.040949,0.052734,0.011786
105,1297,0.000036,0.011719,0.011683
106,1078,0.934622,0.946289,0.011667
107,121,0.625141,0.636719,0.011578
108,972,0.955323,0.966797,0.011474
109,807,0.963331,0.974609,0.011278
110,1335,0.035599,0.046875,0.011276
111,716,0.928224,0.939453,0.011229
112,368,0.038814,0.049805,0.010990
113,811,0.958831,0.969727,0.010895
114,1061,0.946196,0.957031,0.010835
115,1143,0.951392,0.961914,0.010522
116,629,0.961242,0.971680,0.010438
117,1309,0.046358,0.056641,0.010282
118,981,0.964604,0.974609,0.010006
119,648,0.961795,0.971680,0.009884
120,491,0.959892,0.969727,0.009834
121,1075,0.964067,0.973633,0.009566
122,1157,0.965147,0.974609,0.009462
123,326,0.968102,0.977539,0.009437
124,881,0.965195,0.974609,0.009414
125,353,0.964265,0.973633,0.009368
126,1116,0.947735,0.957031,0.009296
127,1039,0.970276,0.979492,0.009216
128,1088,0.968710,0.977539,0.008829
129,1073,0.958000,0.966797,0.008797
130,974,0.968761,0.977539,0.008778
131,961,0.971851,0.980469,0.008618
132,529,0.965029,0.973633,0.008604
133,1041,0.972098,0.980469,0.008370
134,1170,0.963383,0.971680,0.008296
135,670,0.969305,0.977539,0.008235
136,1071,0.968595,0.976562,0.007967
137,86,0.958987,0.966797,0.007810
138,1020,0.969813,0.977539,0.007726
139,642,0.971919,0.979492,0.007573
140,198,0.954346,0.961914,0.007568
141,1128,0.973129,0.980469,0.007340
142,1022,0.967374,0.974609,0.007236
143,109,0.569993,0.577148,0.007155
144,1184,0.976251,0.983398,0.007147
145,997,0.966526,0.973633,0.007107
146,654,0.975501,0.982422,0.006921
147,1003,0.973720,0.980469,0.006749
148,1074,0.967083,0.973633,0.006550
149,373,0.979083,0.985352,0.006269
150,1153,0.976548,0.982422,0.005874
151,1064,0.976657,0.982422,0.005765
152,1125,0.979634,0.985352,0.005718
153,1187,0.982585,0.988281,0.005696
154,1095,0.978691,0.984375,0.005684
155,1333,0.977795,0.983398,0.005603
156,516,0.969105,0.974609,0.005504
157,1097,0.974981,0.980469,0.005487
158,525,0.979881,0.985352,0.005471
159,405,0.979056,0.984375,0.005319
160,1051,0.982047,0.987305,0.005258
161,29,0.019171,0.024414,0.005243
162,24,0.013346,0.018555,0.005209
163,574,0.983145,0.988281,0.005136
164,511,0.985215,0.990234,0.005019
165,671,0.982416,0.987305,0.004889
166,1000,0.979531,0.984375,0.004844
167,1130,0.982478,0.987305,0.004827
168,921,0.982625,0.987305,0.004680
169,661,0.983610,0.988281,0.004671
170,717,0.985565,0.990234,0.004669
171,282,0.977892,0.982422,0.004530
172,1261,0.977924,0.982422,0.004498
173,340,0.985743,0.990234,0.004492
174,537,0.984945,0.989258,0.004313
175,1172,0.980088,0.984375,0.004287
176,572,0.981099,0.985352,0.004252
177,316,0.984212,0.988281,0.004069
178,659,0.979350,0.983398,0.004048
179,561,0.986521,0.990234,0.003714
180,538,0.989459,0.993164,0.003705
181,510,0.986778,0.990234,0.003456
182,986,0.986788,0.990234,0.003446
183,1050,0.984902,0.988281,0.003379
184,970,0.986877,0.990234,0.003357
185,570,0.986899,0.990234,0.003336
186,978,0.987889,0.991211,0.003322
187,568,0.985961,0.989258,0.003297
188,1307,0.015335,0.018555,0.003220
189,1059,0.985114,0.988281,0.003168
190,762,0.988056,0.991211,0.003155
191,1057,0.985248,0.988281,0.003034
192,590,0.989186,0.992188,0.003001
193,1166,0.988267,0.991211,0.002944
194,939,0.989251,0.992188,0.002936
195,1083,0.987358,0.990234,0.002876
196,232,0.988407,0.991211,0.002804
197,595,0.989452,0.992188,0.002735
198,954,0.987542,0.990234,0.002693
199,118,0.984635,0.987305,0.002670
200,394,0.990496,0.993164,0.002668
201,1018,0.989685,0.992188,0.002502
202,1145,0.990663,0.993164,0.002502
203,1226,0.982853,0.985352,0.002499
204,390,0.990676,0.993164,0.002488
205,148,0.974076,0.976562,0.002487
206,1047,0.989714,0.992188,0.002474
207,1126,0.989715,0.992188,0.002473
208,1014,0.991855,0.994141,0.002286
209,656,0.988959,0.991211,0.002252
210,751,0.993870,0.996094,0.002224
211,925,0.990986,0.993164,0.002178
212,1092,0.989045,0.991211,0.002166
213,513,0.991013,0.993164,0.002152
214,284,0.990061,0.992188,0.002127
215,1247,0.990064,0.992188,0.002123
216,1107,0.990155,0.992188,0.002033
217,541,0.990170,0.992188,0.002017
218,1298,0.995159,0.993164,0.001995
219,565,0.991190,0.993164,0.001974
220,320,0.992213,0.994141,0.001927
221,1013,0.990297,0.992188,0.001890
222,199,0.991274,0.993164,0.001890
223,1043,0.992339,0.994141,0.001801
224,1120,0.992342,0.994141,0.001798
225,370,0.991394,0.993164,0.001770
226,965,0.990464,0.992188,0.001724
227,956,0.992423,0.994141,0.001718
228,1109,0.991466,0.993164,0.001698
229,1053,0.992519,0.994141,0.001622
